10 0.234375 5.43 5.36
20 0.46875 5.035 4.38
30 0.703125 4.24 4.16
40 0.9375 5.24 4.92
50 1.171875 4.985 4.81
60 1.40625 4.8 4.66
70 1.640625 4.73 4.56
80 1.875 4.63 4.5
90 2.109375 4.555 4.44
100 2.34375 4.525 4.24
200 4.6875 4.84 4.83
300 7.03125 4.74 4.72
400 9.375 4.69 4.68
500 11.71875 4.66 4.65
600 14.0625 4.65 4.64
700 16.40625 4.63 4.62
800 18.75 4.62 4.61
900 21.09375 4.61 4.6
1000 23.4375 4.61 4.6
2000 46.875 4.69 4.56
3000 70.3125 4.635 4.58
4000 93.75 4.61 4.59
5000 117.1875 4.6 4.57
6000 140.625 4.59 4.56
7000 164.0625 4.59 4.57
8000 187.5 4.59 4.56
9000 210.9375 4.61 4.57
10000 234.375 4.815 4.7
20000 468.75 5.27 5.17
30000 703.125 5.44 5.37
40000 937.5 5.545 5.49
50000 1171.875 5.55 5.5
60000 1406.25 5.53 5.51
70000 1640.625 5.565 5.51
80000 1875.0 5.63 5.51
90000 2109.375 5.695 5.6
100000 2343.75 6.02 5.78
200000 4687.5 10.145 10.0
300000 7031.25 12.84 12.7
400000 9375.0 13.51 13.44
500000 11718.75 13.71 13.66
600000 14062.5 13.775 13.69
700000 16406.25 13.985 13.88
800000 18750.0 14.145 13.83
900000 21093.75 14.06 13.95
1000000 23437.5 14.02 13.92
