100 2.34375 4.21 3.97
200 4.6875 4.78 4.76
300 7.03125 4.69 4.68
400 9.375 4.66 4.65
500 11.71875 4.63 4.62
600 14.0625 4.61 4.59
700 16.40625 4.6 4.58
800 18.75 4.59 4.49
900 21.09375 4.59 4.58
1000 23.4375 4.58 4.58
2000 46.875 4.56 4.55
3000 70.3125 4.55 4.55
4000 93.75 4.55 4.54
5000 117.1875 4.55 4.27
6000 140.625 4.55 4.55
7000 164.0625 4.55 4.53
8000 187.5 4.565 4.54
9000 210.9375 4.59 4.55
10000 234.375 4.61 4.56
20000 468.75 5.175 5.08
30000 703.125 5.39 5.35
40000 937.5 5.48 5.43
50000 1171.875 5.51 5.49
60000 1406.25 5.51 5.5
70000 1640.625 5.5 5.49
80000 1875.0 5.525 5.49
90000 2109.375 5.57 5.52
