10 0.234375 5.195 5.07
20 0.46875 4.99 4.84
30 0.703125 5.64 5.4
40 0.9375 5.445 5.3
50 1.171875 5.28 5.15
60 1.40625 5.17 5.08
70 1.640625 5.82 5.8
80 1.875 5.77 5.75
90 2.109375 5.75 5.74
100 2.34375 5.92 5.75
200 4.6875 6.16 6.1
300 7.03125 6.055 6.03
400 9.375 6.025 6.0
500 11.71875 6.0 5.98
600 14.0625 5.97 5.96
700 16.40625 5.97 5.95
800 18.75 5.95 5.94
900 21.09375 5.95 5.93
1000 23.4375 5.94 5.93
2000 46.875 6.025 5.95
3000 70.3125 5.96 5.94
4000 93.75 5.96 5.93
5000 117.1875 5.945 5.92
6000 140.625 5.95 5.92
7000 164.0625 5.955 5.92
8000 187.5 5.955 5.92
9000 210.9375 5.97 5.92
10000 234.375 6.13 6.03
20000 468.75 6.51 6.43
30000 703.125 6.64 6.57
40000 937.5 6.67 6.62
50000 1171.875 6.65 6.61
60000 1406.25 6.64 6.59
70000 1640.625 6.635 6.61
80000 1875.0 6.68 6.6
90000 2109.375 6.83 6.71
100000 2343.75 7.16 6.95
200000 4687.5 10.86 10.64
300000 7031.25 13.385 13.09
400000 9375.0 13.685 13.58
500000 11718.75 13.865 13.79
600000 14062.5 13.93 13.85
700000 16406.25 13.92 13.82
800000 18750.0 13.95 13.91
900000 21093.75 13.935 13.92
1000000 23437.5 13.93 13.89
