10 0.234375 6.34 6.23
20 0.46875 5.42 5.34
30 0.703125 5.79 5.69
40 0.9375 5.37 5.34
50 1.171875 4.96 4.94
60 1.40625 4.84 4.81
70 1.640625 4.86 4.78
80 1.875 4.85 4.79
90 2.109375 4.73 4.63
100 2.34375 4.84 4.67
200 4.6875 4.3 4.16
300 7.03125 4.1 3.97
400 9.375 3.995 3.95
500 11.71875 3.925 3.88
600 14.0625 4.03 4.01
700 16.40625 4.055 3.98
800 18.75 4.01 3.96
900 21.09375 4.01 3.95
1000 23.4375 4.01 3.95
2000 46.875 4.08 4.0
3000 70.3125 4.14 4.06
4000 93.75 4.16 4.15
5000 117.1875 4.22 4.16
6000 140.625 4.19 4.16
7000 164.0625 4.17 4.15
8000 187.5 4.19 4.15
9000 210.9375 4.205 4.17
10000 234.375 4.415 4.27
20000 468.75 5.02 4.87
30000 703.125 5.23 5.18
40000 937.5 5.33 5.29
50000 1171.875 5.37 5.33
60000 1406.25 5.38 5.34
70000 1640.625 5.415 5.37
80000 1875.0 5.555 5.39
90000 2109.375 5.76 5.47
100000 2343.75 6.095 5.87
200000 4687.5 10.145 10.0
300000 7031.25 12.81 12.7
400000 9375.0 13.595 13.46
500000 11718.75 13.79 13.65
600000 14062.5 13.935 13.77
700000 16406.25 13.89 13.76
800000 18750.0 13.94 13.75
900000 21093.75 13.945 13.91
1000000 23437.5 13.92 13.89
