10 0.234375 6.36 6.19
20 0.46875 5.59 5.58
30 0.703125 6.04 5.97
40 0.9375 5.74 5.69
50 1.171875 5.27 5.26
60 1.40625 5.21 5.18
70 1.640625 5.19 5.17
80 1.875 5.19 5.18
90 2.109375 5.005 4.98
100 2.34375 5.195 5.01
200 4.6875 4.27 4.16
300 7.03125 4.04 4.0
400 9.375 3.98 3.95
500 11.71875 3.93 3.9
600 14.0625 4.03 4.01
700 16.40625 3.99 3.97
800 18.75 3.99 3.97
900 21.09375 3.96 3.95
1000 23.4375 3.96 3.94
2000 46.875 4.07 3.98
3000 70.3125 4.13 4.1
4000 93.75 4.17 4.14
5000 117.1875 4.19 4.16
6000 140.625 4.19 4.16
7000 164.0625 4.19 4.16
8000 187.5 4.2 4.16
9000 210.9375 4.23 4.16
10000 234.375 4.43 4.33
20000 468.75 4.995 4.91
30000 703.125 5.21 5.13
40000 937.5 5.32 5.29
50000 1171.875 5.36 5.33
60000 1406.25 5.37 5.34
70000 1640.625 5.42 5.34
80000 1875.0 5.58 5.47
90000 2109.375 5.77 5.57
100000 2343.75 6.015 5.83
200000 4687.5 10.175 10.04
300000 7031.25 12.705 12.59
400000 9375.0 13.435 13.37
500000 11718.75 13.69 13.64
600000 14062.5 13.775 13.73
700000 16406.25 13.82 13.78
800000 18750.0 13.8 13.77
900000 21093.75 13.78 13.75
1000000 23437.5 13.88 13.75
